Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
2 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,"950-1,135 s",(88-105 sq.m.) Super built-up Area,? 29.00,0.45
2 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,"950-1,241 s",(88-115 sq.m.) Super built-up Area,? 29.00,0.45
Residential land / Plot in AB Bypass Road,Aarone Countywalk Indore,Expert Realty,"1,508 sq.ft",(140 sq.m.) Plot Area,? 42.00,0.22
8 Bedroom Independent House in Sangam Nagar,,Rakesh Jain,"4,000 sq.ft",(372 sq.m.) Built-up Area,? 1.80,8 Cr
2 BHK Residential Apartment in Rau,Dwarkadhish Apartment,suresh,900 sq.ft. ,(84 sq.m.) Carpet Area,? 20, Lac
1 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,570 sq.ft. ,(53 sq.m.) Super built-up Area,? 17.00,0.67
2 BHK Residential Apartment in Rau,Parman Ramesh Residency,Parman Buildcon Pvt. Ltd.,"1,126-1,355",(105-126 sq.m.) Super built-up Area,? 24.00,0.77
2 BHK Residential Apartment in Rau,Ayushman Residency,Shri Giriraj Realty,"1,050 sq.ft",(98 sq.m.) Super built-up Area,? 16.00,.5 L
Residential land / Plot in AB Bypass Road,Vistara Township,Expert Realty,800 sq.ft. ,(74 sq.m.) Plot Area,? 26.00,.4 L
3 BHK Residential Apartment in Bima Nagar Indore,Almaj Deams,RK Property,"2,000 sq.ft",(186 sq.m.) Super built-up Area,? 1.10,1 Cr
3 BHK Residential Apartment in Rau,Parman Ramesh Residency,Parman Buildcon Pvt. Ltd.,"1,481 sq.ft",(138 sq.m.) Super built-up Area,? 32.00,0.58
1 BHK Independent Builder Floor in Surya Dev Nagar,Suryadev Ngr,Anekvarna Infrastructure,600 sq.ft. ,(56 sq.m.) Super built-up Area,? 38, Lac
Residential land / Plot in Mayakhedi,Vistara Township,Manthan Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 33, Lac
4 Bedroom Independent House in Nipania,Kanak avenue,Mukesh Patil,"2,650 sq.ft",(246 sq.m.) Built-up Area,? 1.10,15 C
Residential land / Plot in AB Bypass Road,Pumarth Bliss,Shri Giriraj Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 27, Lac
2 Bedroom Independent House in cat rau road,,Shiv Kumar Vyas,"2,667 sq.ft",(248 sq.m.) Plot Area,? 1.20,2 Cr
Residential land / Plot in Super Corridor,Outbox Lemon City,Outbox Property LLP,600 sq.ft. ,(56 sq.m.) Plot Area,? 10.00,.5 L
Residential land / Plot in MR 11,,Mukesh Patil,"1,312 sq.ft",(122 sq.m.) Plot Area,? 56.00,0.41
3 Bedroom Independent House in Goyal vihar Near Kahjrana Ganesh Mandir,,RK Property,"2,650 sq.ft",(246 sq.m.) Built-up Area,? 90, Lac
4 Bedroom Independent House in Pipaliyahana,Kalindi Kunj,Shree Mangal Nath Property,"2,042 sq.ft",(190 sq.m.) Plot Area,?2 C,Cr?
